#,Error
1,No error.
2,Common error.
3,Invalid trade parameters.
4,Trade server is busy.
5,Old version of the client terminal.
6,No connection with trade server.
7,Not enough rights.
8,Too frequent requests.
9,Malfunctional trade operation (never returned error).
64,Account disabled.
65,Invalid account.
128,Trade timeout.
129,Invalid price.
130,Invalid stops.
131,Invalid trade volume.
132,Market is closed.
133,Trade is disabled.
134,Not enough money.
135,Price changed.
136,Off quotes.
137,Broker is busy (never returned error).
138,Requote.
139,Order is locked.
140,Long positions only allowed.
141,Too many requests.
145,Modification denied because order too close to market.
146,Trade context is busy.
147,Expirations are denied by broker.
148,Amount of open and pending orders has reached the limit.
149,Hedging is prohibited.
150,Prohibited by FIFO rules.
4000,No error (never generated code).
4001,Wrong function pointer.
4002,Array index is out of range.
4003,No memory for function call stack.
4004,Recursive stack overflow.
4005,Not enough stack for parameter.
4006,No memory for parameter string.
4007,No memory for temp string.
4008,Not initialized string.
4009,Not initialized string in array.
4010,No memory for array\' string.
4011,Too long string.
4012,Remainder from zero divide.
4013,Zero divide.
4014,Unknown command.
4015,Wrong jump (never generated error).
4016,Not initialized array.
4017,Dll calls are not allowed.
4018,Cannot load library.
4019,Cannot call function.
4020,Expert function calls are not allowed.
4021,Not enough memory for temp string returned from function.
4022,System is busy (never generated error).
4050,Invalid function parameters count.
4051,Invalid function parameter value.
4052,String function internal error.
4053,Some array error.
4054,Incorrect series array using.
4055,Custom indicator error.
4056,Arrays are incompatible.
4057,Global variables processing error.
4058,Global variable not found.
4059,Function is not allowed in testing mode.
4060,Function is not confirmed.
4061,Send mail error.
4062,String parameter expected.
4063,Integer parameter expected.
4064,Double parameter expected.
4065,Array as parameter expected.
4066,Requested history data in update state.
4073,Market data unavailable. Check connectivity.
4099,End of file.
4100,Some file error.
4101,Wrong file name.
4102,Too many opened files.
4103,Cannot open file.
4104,Incompatible access to a file.
4105,No order selected.
4106,Unknown symbol.
4107,Invalid price parameter for trade function.
4108,Invalid ticket.
4109,Trade is not allowed in the expert properties.
4110,Longs are not allowed in the expert properties.
4111,Shorts are not allowed in the expert properties.
4200,Object is already exist.
4201,Unknown object property.
4202,Object is not exist.
4203,Unknown object type.
4204,No object name.
4205,Object coordinates error.
4206,No specified subwindow.